"Occupation ID","Occupation","Quarter ID","Quarter","Workforce","Monthly Wage","Time","type","type ID"
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20123,"2012-Q3",7540,6897.380636604775,1343797200000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20124,"2012-Q4",13421,9466.60420236942,1351749600000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20131,"2013-Q1",17821,13587.104259020258,1359698400000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20132,"2013-Q2",12383,9760.92021319551,1367384400000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20133,"2013-Q3",12108,9156.185992732078,1375333200000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20134,"2013-Q4",13131,8021.980047216511,1383285600000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20141,"2014-Q1",10401,8115.38505912893,1391234400000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20142,"2014-Q2",4772,7405.041911148365,1398920400000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20143,"2014-Q3",12101,9117.617552268408,1406869200000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20144,"2014-Q4",6111,10499.409261986582,1414821600000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
2262,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",20151,"2015-Q1",9344,5273.453553082192,1422770400000,"Ingenieros en Topografía, Hidrología, Geología y Geodesia",2262
